X,Y,FID,
1767811.48298191,5904302.66924535,"0"
1767876.54355638,5904316.79706791,"1"
1767939.02539288,5904331.07542327,"2"
1761516.5399939,5912450.48483393,"3"
1761570.35469842,5912455.11051015,"4"
1761643.38149752,5912461.09052736,"5"
1756991.88205568,5919368.18755876,"6"
1756966.27228998,5919300.67156093,"7"
1756265.92183706,5919275.11315672,"8"
1757787.28758428,5920805.23453482,"9"
1757807.5358886,5920767.70209193,"10"
1757754.68407315,5920730.03686379,"11"
1757679.94800369,5920721.98739214,"12"
1757831.6405805,5920473.83719762,"13"
1757446.16780409,5921075.98754641,"14"
1757202.77730007,5920900.73532199,"15"
1757170.90613972,5920820.48352877,"16"
1757168.08079973,5920813.35506924,"17"
1757326.92743796,5920209.54798436,"18"
1757439.25303242,5920095.56727133,"19"
1758103.9874066,5920483.84537305,"20"
1758090.94866539,5920502.18889435,"21"
1758027.45739854,5920578.02609357,"22"
1757677.91471038,5920159.88284606,"23"
1757748.13787789,5920132.10142989,"24"
1757917.80677571,5920789.5749635,"25"
1756308.43909723,5918339.71290113,"26"
1756325.75617124,5918399.41434189,"27"
1756344.9013752,5918456.19661117,"28"
1757539.2771509,5919137.30577893,"29"
1758389.15787306,5917588.08531853,"30"
1758387.83333778,5917631.40500229,"31"
1758386.05245945,5917700.5037575,"32"
1755107.25595717,5921566.13717639,"33"
1755118.21802141,5921631.71631481,"34"
1755164.86244917,5921708.55389135,"35"
1755198.64013116,5921738.65827164,"36"
1755255.64601535,5921792.17807267,"37"
1757316.20289477,5918817.07144031,"38"
1757256.29412611,5918863.91489215,"39"
1757245.60974046,5918881.72537346,"40"
1757225.8527713,5918921.08994813,"41"
1757828.99182518,5919852.18953883,"42"
1757860.45318813,5919817.32337989,"43"
1757212.25557275,5919340.80273248,"44"
1757206.34802888,5919323.22109667,"45"
1757181.01772383,5919264.64017225,"46"
1757155.68741878,5919206.05924784,"47"
1756811.96689775,5919503.37389997,"48"
1756810.07594981,5919665.55491103,"49"
1756850.86997865,5919704.53521945,"50"
1756891.66400749,5919743.51552787,"51"
1756909.72852095,5919760.19629708,"52"
1756978.10992521,5919828.01154848,"53"
1756978.10992521,5919828.01154848,"54"
1756957.98122029,5920115.91752862,"55"
1756291.16960977,5919466.51650817,"56"
1756435.42528711,5919436.99778269,"57"
1756431.01121393,5919483.61398045,"58"
1756425.16776949,5919544.66199819,"59"
1756413.86355962,5919632.26862377,"60"
1756409.20374715,5919670.86524812,"61"
1756399.54991196,5919750.75039682,"62"
1756394.94791508,5919791.53229631,"63"
1756387.29324929,5919863.25674465,"64"
1756379.26497015,5919931.15913183,"65"
1756375.37302678,5920006.24379162,"66"
1759844.44858507,5916140.09573394,"67"
1759913.65591445,5916104.97714602,"68"
1759954.62907488,5916084.57300915,"69"
1759995.60223531,5916064.16887228,"70"
1761249.45020653,5914601.76208871,"71"
1761285.35819163,5914524.00031027,"72"
1761285.35819163,5914524.00031027,"73"
1761309.57216507,5914477.2924872,"74"
1761346.92634533,5914416.13987981,"75"
1760195.52726431,5915993.92412025,"76"
1764508.39886683,5918050.42748729,"77"
1764512.87567657,5917962.34920735,"78"
1764483.88036911,5917877.68168256,"79"
1764431.59257713,5918400.68224147,"80"
1764389.76588581,5918445.35296192,"81"
1764389.76588581,5918445.35296192,"82"
1764354.68638062,5918480.1594641,"83"
1764293.8349659,5918523.34356482,"84"
1764206.080456,5918571.30828986,"85"
1763902.30853554,5915266.30486457,"86"
1763836.15293383,5915220.92051752,"87"
1763800.45396464,5915212.30762614,"88"
1763739.16150946,5915230.52517643,"89"
1763698.83258646,5915251.8236478,"90"
1763656.87683759,5915273.83026526,"91"
1763617.43873664,5915294.18997409,"92"
1763538.4119901,5915334.98939935,"93"
1763538.4119901,5915334.98939935,"94"
1763483.96292503,5915363.09544244,"95"
1763429.51385996,5915391.20148554,"96"
1763425.00497033,5915393.61891728,"97"
1763356.91612195,5915414.31691375,"98"
1763288.82727356,5915435.01491021,"99"
1763277.12041042,5915439.09104811,"100"
1763268.9209645,5915445.23078302,"101"
1763190.95467444,5915527.49379033,"102"
1763146.24785801,5915534.48946731,"103"
1763080.97522292,5915530.35887233,"104"
1763007.76738578,5915507.56747194,"105"
1762980.49506728,5915499.07812042,"106"
1762905.0718679,5915482.53255751,"107"
1762851.63411967,5915497.25225677,"108"
1762824.25466271,5915504.10298564,"109"
1762737.84007314,5915525.74647431,"110"
1762714.33394333,5915531.90116464,"111"
1762656.56890045,5915547.3905473,"112"
1762656.56890045,5915547.3905473,"113"
1762607.72869736,5915559.68996654,"114"
1762563.71710587,5915572.76247422,"115"
1762485.89533963,5915595.34889929,"116"
1762485.89533963,5915595.34889929,"117"
1762412.39607763,5915616.96933995,"118"
1762338.89681563,5915638.58978061,"119"
1762326.53324548,5915641.92239567,"120"
1762282.27917393,5915654.86266328,"121"
1762238.02510239,5915667.8029309,"122"
1762193.77103085,5915680.74319851,"123"
1762149.51695931,5915693.68346613,"124"
1762105.26288777,5915706.62373374,"125"
1762061.00881623,5915719.56400136,"126"
1762016.75474469,5915732.50426897,"127"
1761972.50067314,5915745.44453659,"128"
1761928.2466016,5915758.3848042,"129"
1761928.2466016,5915758.3848042,"130"
1761879.48649935,5915772.5056966,"131"
1761830.7263971,5915786.626589,"132"
1761781.96629485,5915800.74748139,"133"
1761781.96629485,5915800.74748139,"134"
1761723.07990673,5915813.69321519,"135"
1761664.19351861,5915826.63894898,"136"
1761624.66439331,5915820.05421913,"137"
1761562.05181401,5915763.12035877,"138"
